Comment,Designator,Footprint,LCSC Part #
1M,R1,R0603,C22935
1nF,C21 C43,C0402,C1523
1uF,C1 C4,C0603,C15849
2.2k,R28 R32 R50 R51 R52,R0402,C25879
2.2k,R54,R0603,C4190
2k 5%,R13,R0402,C4109
4.7nF 100V,C107,C0603,C12164
4.7uF,C19,C0603,C19666
5K1,R2,R0603,C23186
10k,R5 R8,R0603,C25804
10k,R30,R0402,C25744
10k,R31 R35,R0603,C25804
10k,R55,R0402,C25744
10k 5%,R14 R15 R16,R0402,C25744
15,R12,R0603,C22810
22.1k 5%,R10,R0402,C43473
22uF,C23 C24,C0603,C59461
47.5k 5%,R6,R0402,C25896
47K,R104,R0603,C25819
49 9 1%,R24,R0402,C25120
49 9 1%,R25,R0402,C25120
49 9 1%,R26,R0402,C25120
49 9 1%,R27,R0402,C25120
59,R107 R108,R0603,C23086
100,R11,R0603,C22775
100 nF,C103,C0402,C1525
100nF,C20 C29,C0402,C1525
100nF,C31,C0603,C14663
100nF,C33 C34,C0402,C1525
100pF 50V,C108 C109,C0603,C14858
220,R17,R0402,C25091
470,R9,R0603,C23179
600R 2A,L5,L2012C,C3716677
BAT54C,D6,SOT95P240X120-3N,C916424
BZX384C5V1-HE3-08,Z1,SOD2713X115N,C232203
C965807,3.3V 5V 12V,CHIPLED_0603,C965807
CP2102N-A02-GQFN28R,IC10,QFN50P500X500X80-29N,C964632
ESDS314DBVR,D7,SOT95P280X145-5N,C1847859
ESP32-WROOM-32E-N8R2,IC9,ESP32WROOM32EN8R2,C5361945
EVP-AF5B70,S3,EVPAF5B70,C79148
FDN340P,Q3,SOT95P237X112-3N,C75469
GG0402052R542P,D8 D9,DIONC1006X55N,C1973257
LAN8710A-EZC,U2,QFN50P500X500X100-33N,C46185
LMV321AIDBVR,IC1,SOT95P280X145-5N,C484730
NUP2105LT1G,D101,SOT96P237X111-3N,C2890118
SN65HVD230,U3,SOIC127P599X175-8N,C12084
SS8050-G,Q1 Q2,SOT95P240X115-3N,C164886
TLV1117LV33DCYR,IC4,SOT230P700X180-4N,C15578
TS3L501ERUAR,IC11,QFN50P350X900X80-43N,C2652454
TXB0108DQSR,IC2 IC6 IC7,TXB0108DQSR,C427057
TYPE-C-31-M-12,J4,HRO_TYPE-C-31-M-12,C165948
USBLC6-2SC6,IC3,SOT95P280X145-6N,C7519
2.2k,R4 R18 R19 R20 R49,R0402,C25879
2.2k,R53,R0603,C4190
2.2k,R57 R58,R0402,C25879
2.2uF,C8,C0402,C12530
4.7uF,C3,C0402,C23733
5K1,R3,R0603,C23186
10,R21,R0402,C25077
10K,R111,R0402,C25744
10k,R23,R0402,C25744
10k,R29,R0603,C25804
12k 1%,R56,R0402,C25752
47uF,C5,C0805,C16780
100 nF,C10,C0402,C1525
100nF,C2 C6 C7 C9 C22,C0402,C1525
100nF,C27 C28,C0603,C14663
100nF,C30,C0402,C1525
100nF,C32,C0603,C14663
100nF,C35,C0402,C1525
220,R22,R0402,C25091
600R 2A,L1,L2012C,C3716677
MF-FSML050_8-2,F1,FUSC1608X70N,C2844464
TF-01A,MICRO_SD1,TF-01A,C91145
HR911105A,LAN,HR911105A,C12074
