Designator,Mid X,Mid Y,Layer,Rotation
3.3V,23.11,2.79,Top,270.0
5V,21.08,2.79,Top,270.0
12V,19.05,2.79,Top,270.0
C1,64.20,11.49,Top,0.0
C4,53.09,8.64,Top,270.0
C19,29.71,40.86,Top,270.0
C20,31.30,40.99,Top,270.0
C21,9.59,1.84,Top,180.0
C23,39.14,15.79,Top,90.0
C24,37.97,20.57,Top,0.0
C29,32.38,41.53,Top,270.0
C31,23.37,9.91,Top,270.0
C33,37.59,18.99,Top,0.0
C34,37.59,17.91,Top,0.0
C43,29.21,23.37,Top,90.0
C103,29.72,8.38,Top,90.0
C107,44.70,8.64,Top,180.0
C108,44.70,6.60,Top,180.0
C109,44.70,10.67,Top,180.0
D6,29.08,37.72,Top,180.0
D7,20.32,13.34,Top,90.0
D8,25.53,16.26,Top,90.0
D9,25.53,13.46,Top,270.0
D101,48.13,8.64,Top,0.0
IC1,70.74,49.28,Top,90.0
IC2,41.66,46.74,Top,270.0
IC3,11.43,47.50,Top,90.0
IC4,58.29,8.89,Top,0.0
IC6,35.31,39.12,Top,0.0
IC7,26.67,8.89,Top,180.0
IC9,16.89,31.62,Top,0.0
IC10,28.18,45.48,Top,90.0
IC11,33.15,32.64,Top,180.0
J4,4.50,47.75,Top,270.0
L5,37.08,15.37,Top,90.0
Q1,17.72,44.39,Top,180.0
Q2,21.59,44.39,Top,180.0
Q3,66.67,51.05,Top,90.0
R1,12.32,44.70,Top,180.0
R2,9.27,44.70,Top,180.0
R5,70.87,40.01,Top,0.0
R6,32.50,44.73,Top,180.0
R8,70.87,42.04,Top,180.0
R9,19.05,5.71,Top,270.0
R10,32.47,43.56,Top,180.0
R11,21.08,5.71,Top,270.0
R12,23.11,5.71,Top,270.0
R13,32.46,45.95,Top,180.0
R14,32.30,47.07,Top,180.0
R15,21.08,46.67,Top,0.0
R16,17.72,46.67,Top,0.0
R17,27.94,40.72,Top,90.0
R24,32.77,16.32,Top,270.0
R25,35.43,16.32,Top,270.0
R26,31.18,16.32,Top,270.0
R27,33.85,16.32,Top,270.0
R28,35.31,25.78,Top,0.0
R30,38.23,40.51,Top,270.0
R31,28.77,12.19,Top,180.0
R32,37.08,24.51,Top,0.0
R35,6.22,1.91,Top,180.0
R50,37.08,23.37,Top,0.0
R51,32.38,26.92,Top,180.0
R52,35.31,26.92,Top,0.0
R54,38.10,27.94,Top,90.0
R55,28.07,22.86,Top,90.0
R104,39.31,11.05,Top,0.0
R107,39.31,6.99,Top,180.0
R108,39.31,9.02,Top,0.0
S3,9.78,51.31,Top,0.0
U2,32.89,21.72,Top,90.0
U3,34.04,8.64,Top,270.0
Z1,70.74,45.09,Top,270.0
C2,9.14,23.11,Bottom,90.0
C3,10.29,23.11,Bottom,90.0
C5,18.48,29.65,Bottom,180.0
C6,6.10,22.67,Bottom,90.0
C7,34.67,23.18,Bottom,180.0
C8,34.67,22.03,Bottom,180.0
C9,11.46,11.81,Bottom,180.0
C10,12.32,51.44,Bottom,270.0
C22,34.42,25.40,Bottom,0.0
C27,41.66,47.05,Bottom,90.0
C28,45.72,46.99,Bottom,180.0
C30,36.00,41.15,Bottom,180.0
C32,26.04,6.41,Bottom,0.0
C35,37.72,32.51,Bottom,270.0
F1,3.75,47.43,Bottom,0.0
L1,17.65,36.20,Bottom,90.0
MICRO_SD1,10.16,32.70,Bottom,90.0
R3,9.08,49.02,Bottom,180.0
R4,17.53,25.53,Bottom,0.0
R18,19.18,26.04,Bottom,270.0
R19,17.53,32.51,Bottom,0.0
R20,17.53,33.66,Bottom,0.0
R21,17.53,26.67,Bottom,0.0
R22,17.53,28.00,Bottom,0.0
R23,17.53,31.24,Bottom,0.0
R29,41.91,44.01,Bottom,270.0
R49,34.29,26.48,Bottom,0.0
R53,30.86,27.11,Bottom,0.0
R56,35.43,18.67,Bottom,90.0
R57,5.08,15.24,Bottom,180.0
R58,5.08,8.89,Bottom,180.0
R111,4.95,22.48,Bottom,90.0
LAN,9.05,12.45,Top,270.0
